"Topic","n()"
"Forest structure/damage/biomass",203
"Detection techniques/remote sensing",61
"Produtivity",55
"Temporal dynamics/expansion",52
"Soil/water resources",49
"Birds",48
"Feasibility and economy",47
"Invertebrates",43
"Exploited tree species",42
"Medium/large mammals",38
"Functional diversity - trees",35
"Trees",33
"Reviews with multiple topics",30
"Seed dispersal",25
"Liana/Vine",22
"Small mammals",22
"Nutrients cycling /stocks",19
"Pollination",16
"Socio-economic impacts",14
"Impacts on non-timbers",13
"Logging and bushmeat",12
"Amphibians",8
"Bats",8
"Herbivory and pathogens",8
"Biological invasion",5
"Herbs",4
"Reptiles",3
"Fishes",2
"Epiphytes",1
